data_type,study_name_common,study_name_rare,trait_common,trait_rare
phenotype,ukb-b-3018,ukb-wes-gb-00003672,Age at death,Age at death
phenotype,ukb-b-3709,ukb-wes-gb-00003666,Wants to stop smoking,Wants to stop smoking
phenotype,ukb-b-3768,ukb-wes-gb-00003594,Age when periods started (menarche),Age when periods started (menarche)
phenotype,ukb-b-4282,ukb-wes-gb-00002629,Prospective memory result,Prospective memory result
phenotype,ukb-b-4462,ukb-wes-gb-00002619,Exposure to tobacco smoke at home,Exposure to tobacco smoke at home
phenotype,ukb-b-4630,ukb-wes-gb-00002632,Neuroticism score,Neuroticism score
phenotype,ukb-b-4643,ukb-wes-gb-00003596,Age at hysterectomy,Age at hysterectomy
phenotype,ukb-b-4650,ukb-wes-gb-00002623,Comparative body size at age 10,Comparative body size at age 10
phenotype,ukb-b-5238,ukb-wes-gb-00002628,Fluid intelligence score,Fluid intelligence score
phenotype,ukb-b-5238,ukb-wes-gb-00002639,Fluid intelligence score,Fluid intelligence score
phenotype,ukb-b-5811,ukb-wes-gb-00002581,Portion size,Portion size
phenotype,ukb-b-960,ukb-wes-gb-00002602,Smoking/smokers in household,Smoking/smokers in household
phenotype,ukb-d-12336-irnt,ukb-wes-gb-00002597,Ventricular rate,Ventricular rate
phenotype,ukb-d-12338-irnt,ukb-wes-gb-00002598,P duration,P duration
phenotype,ukb-d-12340-irnt,ukb-wes-gb-00002599,QRS duration,QRS duration
phenotype,ukb-d-20407,ukb-wes-gb-00002641,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year
phenotype,ukb-d-20408,ukb-wes-gb-00002642,Frequency of memory loss due to drinking alcohol in last year,Frequency of memory loss due to drinking alcohol in last year
phenotype,ukb-d-20409,ukb-wes-gb-00002643,Frequency of feeling guilt or remorse after drinking alcohol in last year,Frequency of feeling guilt or remorse after drinking alcohol in last year
phenotype,ukb-d-20413,ukb-wes-gb-00002644,Frequency of inability to cease drinking in last year,Frequency of inability to cease drinking in last year
phenotype,ukb-d-20414,ukb-wes-gb-00002645,Frequency of drinking alcohol,Frequency of drinking alcohol
phenotype,ukb-d-20416,ukb-wes-gb-00002646,Frequency of consuming six or more units of alcohol,Frequency of consuming six or more units of alcohol
phenotype,ukb-d-20453,ukb-wes-gb-00002648,Ever taken cannabis,Ever taken cannabis
phenotype,ukb-d-20454,ukb-wes-gb-00002649,Maximum frequency of taking cannabis,Maximum frequency of taking cannabis
phenotype,ukb-d-20455-irnt,ukb-wes-gb-00002650,Age when last took cannabis,Age when last took cannabis
phenotype,ukb-d-20479,ukb-wes-gb-00002651,Ever thought that life not worth living,Ever thought that life not worth living
phenotype,ukb-d-20485,ukb-wes-gb-00002652,Ever contemplated self-harm,Ever contemplated self-harm
phenotype,ukb-d-20492,ukb-wes-gb-00002653,Longest period of mania or irritability,Longest period of mania or irritability
phenotype,ukb-d-20505,ukb-wes-gb-00002654,Recent easy annoyance or irritability,Recent easy annoyance or irritability
phenotype,ukb-d-20506,ukb-wes-gb-00002655,Recent feelings or nervousness or anxiety,Recent feelings or nervousness or anxiety
phenotype,ukb-d-20507,ukb-wes-gb-00002656,Recent feelings of inadequacy,Recent feelings of inadequacy
phenotype,ukb-d-20508,ukb-wes-gb-00002657,Recent trouble concentrating on things,Recent trouble concentrating on things
phenotype,ukb-d-20509,ukb-wes-gb-00002658,Recent inability to stop or control worrying,Recent inability to stop or control worrying
phenotype,ukb-d-20510,ukb-wes-gb-00002659,Recent feelings of depression,Recent feelings of depression
phenotype,ukb-d-20511,ukb-wes-gb-00002660,Recent poor appetite or overeating,Recent poor appetite or overeating
phenotype,ukb-d-20512,ukb-wes-gb-00002661,Recent feelings of foreboding,Recent feelings of foreboding
phenotype,ukb-d-20514,ukb-wes-gb-00002662,Recent lack of interest or pleasure in doing things,Recent lack of interest or pleasure in doing things
phenotype,ukb-d-20517,ukb-wes-gb-00002663,"Trouble falling or staying asleep, or sleeping too much","Trouble falling or staying asleep, or sleeping too much"
phenotype,ukb-d-20518,ukb-wes-gb-00002664,Recent changes in speed/amount of moving or speaking,Recent changes in speed/amount of moving or speaking
phenotype,ukb-d-20519,ukb-wes-gb-00002665,Recent feelings of tiredness or low energy,Recent feelings of tiredness or low energy
phenotype,ukb-d-20537,ukb-wes-gb-00002666,Frequency of difficulty controlling worry during worst period of anxiety,Frequency of difficulty controlling worry during worst period of anxiety
phenotype,ukb-d-30160,ukb-wes-gb-00003614,Basophill count,Basophill count
phenotype,ukb-d-30240-irnt,ukb-wes-gb-00003620,Reticulocyte percentage,Reticulocyte percentage
phenotype,ukb-b-10011,ukb-wes-bm-00000227,Townsend deprivation index at recruitment,Townsend deprivation index at recruitment (189)
phenotype,ukb-b-10066,ukb-wes-bm-00000320,Eye problems/disorders: Other serious eye condition,Eye problems disorders - Other serious eye condition (6148)
phenotype,ukb-b-10188,ukb-wes-bm-00001829,Vitamin and mineral supplements: Vitamin B,Vitamin and mineral supplements - Vitamin B (6155)
phenotype,ukb-b-1061,ukb-wes-bm-00002836,Age high blood pressure diagnosed,Age high blood pressure diagnosed (2966)
phenotype,ukb-b-10787,ukb-wes-bm-00003231,Standing height,Standing height (50)
phenotype,ukb-b-10807,ukb-wes-bm-00001260,Illnesses of mother: Severe depression,Illnesses of mother - Severe depression (20110)
phenotype,ukb-b-10831,ukb-wes-bm-00001414,Pack years of smoking,Pack years of smoking (20161)
phenotype,ukb-b-11076,ukb-wes-gb-00003694,"ECG, phase time","ECG, phase time"
phenotype,ukb-b-11161,ukb-wes-bm-00002488,Mouth/teeth dental problems: Painful gums,Mouth teeth dental problems - Painful gums (6149)
phenotype,ukb-b-11463,ukb-wes-bm-00000025,Time since last menstrual period,Time since last menstrual period (3700)
phenotype,ukb-b-11598,ukb-wes-bm-00002131,Pulse wave reflection index,Pulse wave reflection index (4195)
phenotype,ukb-b-11971,ukb-wes-bm-00000847,Pulse wave Arterial Stiffness index,Pulse wave Arterial Stiffness index (21021)
phenotype,ukb-b-12018,ukb-wes-bm-00000737,Illnesses of mother: Chronic bronchitis/emphysema,Illnesses of mother - Chronic bronchitis emphysema (20110)
phenotype,ukb-b-12165,ukb-wes-gb-00003693,"ECG, load","ECG, load"
phenotype,ukb-b-12227,ukb-wes-bm-00000143,Illnesses of siblings: Breast cancer,Illnesses of siblings - Breast cancer (20111)
phenotype,ukb-b-12405,ukb-wes-bm-00003118,Age at first live birth,Age at first live birth (2754)
phenotype,ukb-b-12477,ukb-wes-bm-00003273,Illnesses of mother: Heart disease,Illnesses of mother - Heart disease (20110)
phenotype,ukb-b-12506,ukb-wes-bm-00000865,Vitamin and mineral supplements: Vitamin E,Vitamin and mineral supplements - Vitamin E (6155)
phenotype,ukb-b-12648,ukb-wes-bm-00003845,Vitamin and mineral supplements: Vitamin D,Vitamin and mineral supplements - Vitamin D (6155)
phenotype,ukb-b-12777,ukb-wes-bm-00002826,Illnesses of father: Stroke,Illnesses of father - Stroke (20107)
phenotype,ukb-b-12849,ukb-wes-bm-00002353,Mouth/teeth dental problems: Loose teeth,Mouth teeth dental problems - Loose teeth (6149)
phenotype,ukb-b-12930,ukb-wes-bm-00003184,Mouth/teeth dental problems: Dentures,Mouth teeth dental problems - Dentures (6149)
phenotype,ukb-b-12938,ukb-wes-bm-00000438,Illnesses of siblings: Bowel cancer,Illnesses of siblings - Bowel cancer (20111)
phenotype,ukb-b-13584,ukb-wes-bm-00003003,Illnesses of mother: Breast cancer,Illnesses of mother - Breast cancer (20110)
phenotype,ukb-b-13823,ukb-wes-bm-00000500,Time to complete round,Time to complete round (20133)
phenotype,ukb-b-13823,ukb-wes-bm-00003125,Time to complete round,Time to complete round (400)
phenotype,ukb-b-13932,ukb-wes-bm-00000006,Duration of vigorous activity,Duration of vigorous activity (914)
phenotype,ukb-b-13952,ukb-wes-bm-00000917,Illnesses of siblings: Chronic bronchitis/emphysema,Illnesses of siblings - Chronic bronchitis emphysema (20111)
phenotype,ukb-b-14303,ukb-wes-bm-00000719,Values entered,Values entered (20229)
phenotype,ukb-b-14371,ukb-wes-bm-00000836,Illnesses of siblings: Heart disease,Illnesses of siblings - Heart disease (20111)
phenotype,ukb-b-14461,ukb-wes-bm-00001024,Maximum heart rate during fitness test,Maximum heart rate during fitness test (6033)
phenotype,ukb-b-14521,ukb-wes-bm-00003593,Illnesses of father: Lung cancer,Illnesses of father - Lung cancer (20107)
phenotype,ukb-b-14540,ukb-wes-bm-00000937,Whole body water mass,Whole body water mass (23102)
phenotype,ukb-b-15175,ukb-wes-bm-00000289,Vitamin and mineral supplements: Vitamin C,Vitamin and mineral supplements - Vitamin C (6155)
phenotype,ukb-b-15590,ukb-wes-bm-00000421,Hip circumference,Hip circumference (49)
phenotype,ukb-b-15826,ukb-wes-bm-00000454,Illnesses of siblings: Lung cancer,Illnesses of siblings - Lung cancer (20111)
phenotype,ukb-b-15892,ukb-wes-bm-00003528,Pulse rate,Pulse rate (4194)
phenotype,ukb-b-16287,ukb-wes-bm-00002161,Mean time to correctly identify matches,Mean time to correctly identify matches (20023)
phenotype,ukb-b-16334,ukb-wes-bm-00002637,Illnesses of siblings: Stroke,Illnesses of siblings - Stroke (20111)
phenotype,ukb-b-16407,ukb-wes-bm-00000086,Trunk fat percentage,Trunk fat percentage (23127)
phenotype,ukb-b-16451,ukb-wes-bm-00002846,Illnesses of mother: Diabetes,Illnesses of mother - Diabetes (20110)
phenotype,ukb-b-16881,ukb-wes-bm-00002702,Sitting height,Sitting height (20015)
phenotype,ukb-b-16998,ukb-wes-bm-00003001,Duration of walks,Duration of walks (874)
phenotype,ukb-b-17194,ukb-wes-bm-00002901,Eye problems/disorders: Macular degeneration,Eye problems disorders - Macular degeneration (6148)
phenotype,ukb-b-17324,ukb-wes-bm-00002690,Eye problems/disorders: Glaucoma,Eye problems disorders - Glaucoma (6148)
phenotype,ukb-b-17820,ukb-wes-gb-00003667,Smoking compared to 10 years previous,Smoking compared to 10 years previous
phenotype,ukb-b-18042,ukb-wes-bm-00001180,Illnesses of siblings: Diabetes,Illnesses of siblings - Diabetes (20111)
phenotype,ukb-b-18290,ukb-wes-gb-00002670,Age hayfever or allergic rhinitis diagnosed by doctor,Age hayfever or allergic rhinitis diagnosed by doctor
phenotype,ukb-b-18408,ukb-wes-bm-00002802,Illnesses of father: Heart disease,Illnesses of father - Heart disease (20107)
phenotype,ukb-b-18436,ukb-wes-gb-00002671,Age asthma diagnosed by doctor,Age asthma diagnosed by doctor
phenotype,ukb-b-19191,ukb-wes-bm-00000975,Mouth/teeth dental problems: Toothache,Mouth teeth dental problems - Toothache (6149)
phenotype,ukb-b-19253,ukb-wes-gb-00003665,Age started smoking in current smokers,Age started smoking in current smokers
phenotype,ukb-b-19393,ukb-wes-bm-00002046,Whole body fat mass,Whole body fat mass (23100)
phenotype,ukb-b-19456,ukb-wes-bm-00000802,Illnesses of father: High blood pressure,Illnesses of father - High blood pressure (20107)
phenotype,ukb-b-19585,ukb-wes-bm-00001716,Duration to entering value,Duration to entering value (20230)
phenotype,ukb-b-19921,ukb-wes-bm-00000665,Impedance of whole body,Impedance of whole body (23106)
phenotype,ukb-b-20044,ukb-wes-bm-00002922,Trunk fat mass,Trunk fat mass (23128)
phenotype,ukb-b-20211,ukb-wes-bm-00001593,Illnesses of father: Diabetes,Illnesses of father - Diabetes (20107)
phenotype,ukb-b-2047,ukb-wes-bm-00000550,Age started smoking in former smokers,Age started smoking in former smokers (2867)
phenotype,ukb-b-20498,ukb-wes-bm-00001179,Number of incorrect matches in round,Number of incorrect matches in round (399)
phenotype,ukb-b-2102,ukb-wes-bm-00003080,Longest period of depression,Longest period of depression (4609)
phenotype,ukb-b-2134,ukb-wes-gb-00002601,Past tobacco smoking,Past tobacco smoking
phenotype,ukb-b-223,ukb-wes-gb-00002600,Current tobacco smoking,Current tobacco smoking
phenotype,ukb-b-2346,ukb-wes-bm-00001793,Duration of moderate activity,Duration of moderate activity (894)
phenotype,ukb-b-2535,ukb-wes-gb-00002694,Falls in the last year,Falls in the last year
phenotype,ukb-b-3018,ukb-wes-gb-00003672,Age at death,Age at death
phenotype,ukb-b-3709,ukb-wes-gb-00003666,Wants to stop smoking,Wants to stop smoking
phenotype,ukb-b-3768,ukb-wes-gb-00003594,Age when periods started (menarche),Age when periods started (menarche)
phenotype,ukb-b-4024,ukb-wes-bm-00003598,Illnesses of mother: Stroke,Illnesses of mother - Stroke (20110)
phenotype,ukb-b-4080,ukb-wes-bm-00000728,Ankle spacing width,Ankle spacing width (3143)
phenotype,ukb-b-4206,ukb-wes-bm-00002972,Age when last used oral contraceptive pill,Age when last used oral contraceptive pill (2804)
phenotype,ukb-b-4282,ukb-wes-gb-00002629,Prospective memory result,Prospective memory result
phenotype,ukb-b-4462,ukb-wes-gb-00002619,Exposure to tobacco smoke at home,Exposure to tobacco smoke at home
phenotype,ukb-b-4630,ukb-wes-gb-00002632,Neuroticism score,Neuroticism score
phenotype,ukb-b-4643,ukb-wes-gb-00003596,Age at hysterectomy,Age at hysterectomy
phenotype,ukb-b-4650,ukb-wes-gb-00002623,Comparative body size at age 10,Comparative body size at age 10
phenotype,ukb-b-5238,ukb-wes-gb-00002628,Fluid intelligence score,Fluid intelligence score
phenotype,ukb-b-5238,ukb-wes-gb-00002639,Fluid intelligence score,Fluid intelligence score
phenotype,ukb-b-5666,ukb-wes-bm-00003634,Interpolated Age of participant when operation took place,Interpolated Age of participant when operation took place (20011)
phenotype,ukb-b-5801,ukb-wes-bm-00001698,Age started wearing glasses or contact lenses,Age started wearing glasses or contact lenses (2217)
phenotype,ukb-b-5811,ukb-wes-gb-00002581,Portion size,Portion size
phenotype,ukb-b-6092,ukb-wes-bm-00000861,Age at cancer diagnosis,Age at cancer diagnosis (40008)
phenotype,ukb-b-6458,ukb-wes-bm-00003276,Mouth/teeth dental problems: Mouth ulcers,Mouth teeth dental problems - Mouth ulcers (6149)
phenotype,ukb-b-7138,ukb-wes-bm-00000790,Age stopped smoking,Age stopped smoking (2897)
phenotype,ukb-b-7460,ukb-wes-bm-00000813,Pack years adult smoking as proportion of life span exposed to smoking,Pack years adult smoking as proportion of life span exposed to smoking (20162)
phenotype,ukb-b-7551,ukb-wes-bm-00001269,Maximum workload during fitness test,Maximum workload during fitness test (6032)
phenotype,ukb-b-7748,ukb-wes-bm-00003371,Illnesses of mother: Bowel cancer,Illnesses of mother - Bowel cancer (20110)
phenotype,ukb-b-7872,ukb-wes-bm-00003852,Mouth/teeth dental problems: Bleeding gums,Mouth teeth dental problems - Bleeding gums (6149)
phenotype,ukb-b-7910,ukb-wes-bm-00002479,Illnesses of father: Bowel cancer,Illnesses of father - Bowel cancer (20107)
phenotype,ukb-b-8329,ukb-wes-bm-00003782,Eye problems/disorders: Cataract,Eye problems disorders - Cataract (6148)
phenotype,ukb-b-8727,ukb-wes-bm-00001168,Age at last live birth,Age at last live birth (2764)
phenotype,ukb-b-8746,ukb-wes-bm-00003549,Illnesses of siblings: High blood pressure,Illnesses of siblings - High blood pressure (20111)
phenotype,ukb-b-8778,ukb-wes-bm-00003309,Pulse wave peak to peak time,Pulse wave peak to peak time (4196)
phenotype,ukb-b-9127,ukb-wes-bm-00003614,Illnesses of father: Chronic bronchitis/emphysema,Illnesses of father - Chronic bronchitis emphysema (20107)
phenotype,ukb-b-9324,ukb-wes-bm-00001100,Number of trend entries,Number of trend entries (6038)
phenotype,ukb-b-9405,ukb-wes-bm-00001622,Waist circumference,Waist circumference (48)
phenotype,ukb-b-9433,ukb-wes-bm-00002457,Age started oral contraceptive pill,Age started oral contraceptive pill (2794)
phenotype,ukb-b-9596,ukb-wes-bm-00000412,Vitamin and mineral supplements: Vitamin A,Vitamin and mineral supplements - Vitamin A (6155)
phenotype,ukb-b-9685,ukb-wes-bm-00001286,Trunk predicted mass,Trunk predicted mass (23130)
phenotype,ukb-d-12336-irnt,ukb-wes-gb-00002597,Ventricular rate,Ventricular rate
phenotype,ukb-d-12338-irnt,ukb-wes-gb-00002598,P duration,P duration
phenotype,ukb-d-12340-irnt,ukb-wes-gb-00002599,QRS duration,QRS duration
phenotype,ukb-d-20116-0,ukb-wes-bm-00001807,Smoking status: Never,Smoking status - Never (20116)
phenotype,ukb-d-20117-2,ukb-wes-bm-00001365,Alcohol drinker status: Current,Alcohol drinker status - Current (20117)
phenotype,ukb-d-20126-0,ukb-wes-bm-00003510,Bipolar and major depression status: No Bipolar or Depression,Bipolar and major depression status - No Bipolar or Depression (20126)
phenotype,ukb-d-20126-5,ukb-wes-bm-00003683,Bipolar and major depression status: Single Probable major depression episode,Bipolar and major depression status - Single Probable major depression episode (20126)
phenotype,ukb-d-20407,ukb-wes-gb-00002641,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year
phenotype,ukb-d-20408,ukb-wes-gb-00002642,Frequency of memory loss due to drinking alcohol in last year,Frequency of memory loss due to drinking alcohol in last year
phenotype,ukb-d-20409,ukb-wes-gb-00002643,Frequency of feeling guilt or remorse after drinking alcohol in last year,Frequency of feeling guilt or remorse after drinking alcohol in last year
phenotype,ukb-d-20413,ukb-wes-gb-00002644,Frequency of inability to cease drinking in last year,Frequency of inability to cease drinking in last year
phenotype,ukb-d-20414,ukb-wes-gb-00002645,Frequency of drinking alcohol,Frequency of drinking alcohol
phenotype,ukb-d-20416,ukb-wes-gb-00002646,Frequency of consuming six or more units of alcohol,Frequency of consuming six or more units of alcohol
phenotype,ukb-d-20433-irnt,ukb-wes-bm-00001628,Age at first episode of depression,Age at first episode of depression (20433)
phenotype,ukb-d-20453,ukb-wes-gb-00002648,Ever taken cannabis,Ever taken cannabis
phenotype,ukb-d-20454,ukb-wes-gb-00002649,Maximum frequency of taking cannabis,Maximum frequency of taking cannabis
phenotype,ukb-d-20455-irnt,ukb-wes-gb-00002650,Age when last took cannabis,Age when last took cannabis
phenotype,ukb-d-20479,ukb-wes-gb-00002651,Ever thought that life not worth living,Ever thought that life not worth living
phenotype,ukb-d-20485,ukb-wes-gb-00002652,Ever contemplated self-harm,Ever contemplated self-harm
phenotype,ukb-d-20492,ukb-wes-gb-00002653,Longest period of mania or irritability,Longest period of mania or irritability
phenotype,ukb-d-20505,ukb-wes-gb-00002654,Recent easy annoyance or irritability,Recent easy annoyance or irritability
phenotype,ukb-d-20506,ukb-wes-gb-00002655,Recent feelings or nervousness or anxiety,Recent feelings or nervousness or anxiety
phenotype,ukb-d-20507,ukb-wes-gb-00002656,Recent feelings of inadequacy,Recent feelings of inadequacy
phenotype,ukb-d-20508,ukb-wes-gb-00002657,Recent trouble concentrating on things,Recent trouble concentrating on things
phenotype,ukb-d-20509,ukb-wes-gb-00002658,Recent inability to stop or control worrying,Recent inability to stop or control worrying
phenotype,ukb-d-20510,ukb-wes-gb-00002659,Recent feelings of depression,Recent feelings of depression
phenotype,ukb-d-20511,ukb-wes-gb-00002660,Recent poor appetite or overeating,Recent poor appetite or overeating
phenotype,ukb-d-20512,ukb-wes-gb-00002661,Recent feelings of foreboding,Recent feelings of foreboding
phenotype,ukb-d-20514,ukb-wes-gb-00002662,Recent lack of interest or pleasure in doing things,Recent lack of interest or pleasure in doing things
phenotype,ukb-d-20517,ukb-wes-gb-00002663,"Trouble falling or staying asleep, or sleeping too much","Trouble falling or staying asleep, or sleeping too much"
phenotype,ukb-d-20519,ukb-wes-gb-00002665,Recent feelings of tiredness or low energy,Recent feelings of tiredness or low energy
phenotype,ukb-d-20536-0,ukb-wes-bm-00000430,Weight change during worst episode of depression: Stayed about the same or was on a diet,Weight change during worst episode of depression - Stayed about the same or was on a diet (20536)
