study_name,trait_name,category
ebi-a-GCST000922,Openness,social / behavioural
ebi-a-GCST000998,Coronary heart disease,health trait / disease outcome
ebi-a-GCST001212,Proinsulin levels,clinical measures
ebi-a-GCST001837,Intelligence (childhood),social / behavioural
ebi-a-GCST002376,Urinary uromodulin levels,clinical measures
ebi-a-GCST003116,Coronary artery disease,health trait / disease outcome
ebi-a-GCST003372,Glomerular filtration rate (creatinine),clinical measures
ebi-a-GCST003373,Glomerular filtration rate in diabetics (creatinine),clinical measures
ebi-a-GCST003374,Chronic kidney disease,health trait / disease outcome
ebi-a-GCST003375,Glomerular filtration rate (cystatin C),clinical measures
ebi-a-GCST003378,Response to lithium treatment in bipolar disorder (dichotomous phenotype),operation / treatment
ebi-a-GCST003395,Parental extreme longevity (95 years and older),health trait / disease outcome
ebi-a-GCST003401,Glomerular filtration rate in non diabetics (creatinine),clinical measures
ebi-a-GCST003435,Body fat percentage,anthropometric
ebi-a-GCST003566,Multiple sclerosis,health trait / disease outcome
ebi-a-GCST003724,Bipolar disorder,health trait / disease outcome
ebi-a-GCST003837,Chronotype,physiological
ebi-a-GCST003839,Sleep duration,physiological
ebi-a-GCST004488,Insulin secretion rate,physiological
ebi-a-GCST004575,Acute insulin response,physiological
ebi-a-GCST004608,Granulocyte percentage of myeloid white cells,blood cell measures
ebi-a-GCST004613,Sum neutrophil eosinophil counts,blood cell measures
ebi-a-GCST004614,Granulocyte count,blood cell measures
ebi-a-GCST004617,Eosinophil percentage of granulocytes,blood cell measures
ebi-a-GCST004618,White blood cell count (basophil),blood cell measures
ebi-a-GCST004620,Sum basophil neutrophil counts,blood cell measures
ebi-a-GCST004623,Neutrophil percentage of granulocytes,blood cell measures
ebi-a-GCST004624,Sum eosinophil basophil counts,blood cell measures
ebi-a-GCST004626,Myeloid white cell count,blood cell measures
ebi-a-GCST004627,Lymphocyte counts,blood cell measures
ebi-a-GCST004634,Basophil percentage of granulocytes,blood cell measures
ebi-a-GCST004695,Insomnia complaints,health trait / disease outcome
ebi-a-GCST004732,Heart rate variability traits (pvRSA/HF),physiological
ebi-a-GCST004733,Heart rate variability traits (RMSSD),physiological
ebi-a-GCST004734,Heart rate variability traits (SDNN),physiological
ebi-a-GCST004744,Lung adenocarcinoma,health trait / disease outcome
ebi-a-GCST004746,Small cell lung carcinoma,health trait / disease outcome
ebi-a-GCST004747,Lung cancer in never smokers,health trait / disease outcome
ebi-a-GCST004749,Lung cancer in ever smokers,health trait / disease outcome
ebi-a-GCST004750,Squamous cell lung carcinoma,health trait / disease outcome
ebi-a-GCST005038,"Allergic disease (asthma, hay fever or eczema)",health trait / disease outcome
ebi-a-GCST005179,Homeostasis model assessment of insulin resistance,clinical measures
ebi-a-GCST005180,Homeostasis model assessment of beta-cell function,clinical measures
ebi-a-GCST005185,Fasting blood insulin,clinical measures
ebi-a-GCST005186,Fasting blood glucose,clinical measures
ebi-a-GCST005215,Corrected insulin response,clinical measures
ebi-a-GCST005216,Corrected insulin response adjusted for insulin sensitivity index,clinical measures
ebi-a-GCST005217,Insulin levels adjusted for BMI,clinical measures
ebi-a-GCST005218,Area under the curve of insulin levels,clinical measures
ebi-a-GCST005219,Incremental insulin,clinical measures
ebi-a-GCST005220,Insulin levels,clinical measures
ebi-a-GCST005221,Insulin sensitivity index,clinical measures
ebi-a-GCST005222,Insulin disposition index,clinical measures
ebi-a-GCST005223,Ratio of the area under the curve for insulin and the area under the curve for glucose,clinical measures
ebi-a-GCST005314,Offspring birth weight,anthropometric
ebi-a-GCST005348,Total body bone mineral density,clinical measures
ebi-a-GCST005350,Total body bone mineral density (age 45-60),clinical measures
ebi-a-GCST005810,Osteoarthritis of the hip (hospital diagnosed),health trait / disease outcome
ebi-a-GCST005811,Osteoarthritis (self-reported),health trait / disease outcome
ebi-a-GCST005812,Osteoarthritis of the hip or knee (hospital diagnosed),health trait / disease outcome
ebi-a-GCST005813,Osteoarthritis of the knee (hospital diagnosed),health trait / disease outcome
ebi-a-GCST005814,Osteoarthritis (hospital diagnosed),health trait / disease outcome
ebi-a-GCST005838,Stroke,health trait / disease outcome
ebi-a-GCST005840,Ischemic stroke (large artery atherosclerosis),health trait / disease outcome
ebi-a-GCST005841,Ischemic stroke (small-vessel),health trait / disease outcome
ebi-a-GCST005842,Ischemic stroke (cardioembolic),health trait / disease outcome
ebi-a-GCST005902,Depression (broad),health trait / disease outcome
ebi-a-GCST005903,Major depressive disorder (ICD-10 coded),health trait / disease outcome
ebi-a-GCST005904,Major depressive disorder (probable),health trait / disease outcome
ebi-a-GCST006097,Moderate to vigorous physical activity levels,social / behavioural
ebi-a-GCST006098,Vigorous physical activity,social / behavioural
ebi-a-GCST006099,Accelerometer-based physical activity measurement (average acceleration),social / behavioural
ebi-a-GCST006100,Strenuous sports or other exercises,social / behavioural
ebi-a-GCST006326,Conscientiousness,social / behavioural
ebi-a-GCST006328,Extraversion,social / behavioural
ebi-a-GCST006344,Anti-cytomegalovirus IgG levels,clinical measures
ebi-a-GCST006345,Anti-Epstein-Barr virus early antigen (EA) IgG levels,clinical measures
ebi-a-GCST006346,Anti-herpes simplex virus 1 IgG levels,clinical measures
ebi-a-GCST006347,Anti-herpes simplex virus 2 IgG levels,clinical measures
ebi-a-GCST006348,Anti-varicella zoster virus IgG levels,clinical measures
ebi-a-GCST006349,Anti-Toxoplasma gondii IgG levels,clinical measures
ebi-a-GCST006350,Anti-influenza A virus IgG levels,clinical measures
ebi-a-GCST006351,Anti-measles virus IgG levels,clinical measures
ebi-a-GCST006352,Anti-mumps virus IgG levels,clinical measures
ebi-a-GCST006353,Anti-rubella virus IgG levels,clinical measures
ebi-a-GCST006354,Anti-hepatitis B virus surface antigen (HBs) IgG levels,clinical measures
ebi-a-GCST006355,Anti-hepatitis B virus core antigen (HBc) IgG levels,clinical measures
ebi-a-GCST006357,IgG levels,clinical measures
ebi-a-GCST006358,IgE levels,clinical measures
ebi-a-GCST006359,IgM levels,clinical measures
ebi-a-GCST006360,IgA levels,clinical measures
ebi-a-GCST006361,Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels,clinical measures
ebi-a-GCST006362,Anti-Epstein-Barr virus viral capsid antigen (VCA) IgG levels,clinical measures
ebi-a-GCST006363,Anti-Helicobacter pylori IgG levels,clinical measures
ebi-a-GCST006366,Central corneal thickness,clinical measures
ebi-a-GCST006414,Atrial fibrillation,health trait / disease outcome
ebi-a-GCST006465,Endometrial cancer (endometrioid histology),health trait / disease outcome
ebi-a-GCST006466,Endometrial cancer (Non-endometrioid histology),health trait / disease outcome
ebi-a-GCST006475,Depressed affect,health trait / disease outcome
ebi-a-GCST006572,Cognitive performance,social / behavioural
ebi-a-GCST006586,Urinary albumin excretion,clinical measures
ebi-a-GCST006677,Acute insulin response (insulin secretion adjusted),clinical measures
ebi-a-GCST006678,Acute insulin response (insulin secretion and BMI adjusted),clinical measures
ebi-a-GCST006679,insulin secretion rate (BMI adjusted),clinical measures
ebi-a-GCST006685,Sleep duration (oversleepers),physiological
ebi-a-GCST006686,Sleep duration (undersleepers),physiological
ebi-a-GCST006696,Parental longevity (mother's attained age),health trait / disease outcome
ebi-a-GCST006697,"Parental longevity (combined parental attained age, Martingale residuals)",health trait / disease outcome
ebi-a-GCST006698,Parental longevity (both parents in top 10%),health trait / disease outcome
ebi-a-GCST006699,Parental longevity (mother's age at death),health trait / disease outcome
ebi-a-GCST006700,Parental longevity (father's age at death),health trait / disease outcome
ebi-a-GCST006701,Parental longevity (father's attained age),health trait / disease outcome
ebi-a-GCST006702,Parental longevity (combined parental age at death),health trait / disease outcome
ebi-a-GCST006867,Type 2 diabetes,health trait / disease outcome
ebi-a-GCST006940,Neurociticism,social / behavioural
ebi-a-GCST006941,Irritable mood,social / behavioural
ebi-a-GCST006942,Feeling lonely,social / behavioural
ebi-a-GCST006943,Feeling miserable,social / behavioural
